679,calcular,"to calculate, figure out"
682,calentar,"to warm, heat"
687,calificar,"to grade, rate, qualify"
689,callar,to be/make quiet
692,calmar,"to calm, soothe, relieve"
694,calzar,to wear (shoes)
697,cambiar,to change
699,caminar,to walk
715,cancelar,to cancel
725,cansar,"to tire, annoy"
727,cantar,to sing
734,capacitar,"to qualify, prepare"
743,captar,"to capture, attract"
745,capturar,to capture
751,caracterizar,"to characterize, portray"
757,carecer,to be without
760,cargar,"to load (up), carry"
780,casar,to marry
787,castigar,to punish
801,causar,"to cause, bring about"
804,cazar,to hunt
805,ceder,"to give way, yield"
810,celebrar,to celebrate
818,cenar,to dine
825,centrar,"to center, focus, base (on)"
837,cerrar,to close
842,cesar,"to cease, stop"
846,charlar,"to chat, talk"
857,chocar,"to crash into, collide with"
861,chupar,to suck
887,circular,"to circulate, go around, flow"
892,citar,"to cite, quote"
906,clasificar,"to classify, sort, file"
907,clavar,to nail
919,cobrar,to charge (money)
924,cocinar,to cook
928,coger,"to hold, take, catch"
931,coincidir,"to coincide, agree"
935,colaborar,"to collaborate, work together"
936,colar,to slip in [se]
944,colgar,to hang (up)
948,colocar,"to place, position"
958,combatir,to fight against
960,combinar,to combine
964,comentar,to comment on
966,comenzar,"to begin, start"
967,comer,to eat
971,cometer,to commit
987,comparar,to compare
988,compartir,to share
993,compensar,"to compensate, make up for"
997,competir,to compete
999,complacer,"to please, satisfy"
1003,complementar,"to complement, supplement"
1007,completar,to complete
1011,complicar,"to complicate, make difficult"
1015,componer,"to compose, be part of"
1017,comportar,to behave
1022,comprar,to buy
1023,comprender,to understand
1025,comprobar,"to verify, prove"
1026,comprometer,to compromise
1034,comunicar,to communicate
1041,concebir,"to conceive, understand"
1042,conceder,"to grant, concede"
1044,concentrar,to concentrate
1051,concluir,"to conclude, finish"
1054,concretar,"to materialize, fulfill"
1056,concurrir,"to coincide, concur, meet"
1060,condenar,"to convict, condemn"
1062,condicionar,"to condition, determine"
1063,conducir,"to lead, drive"
1066,conectar,"to connect, plug in"
1071,confesar,"to confess, admit"
1074,confiar,"to trust, confide"
1076,configurar,"to make up, comprise"
1077,confirmar,to confirm
1079,conformar,to conform
1081,confundir,to confuse
1084,congelar,to freeze
1088,conllevar,"to involve, bring"
1090,conmover,"to move, affect"
1091,conocer,to know (someone or place)
1095,conquistar,"to conquer, win (over)"
1096,consagrar,"to consecrate, establish"
1100,conseguir,"to get, acquire, obtain"
1104,consentir,"to consent to, pamper"
1107,conservar,"to conserve, preserve"
1110,considerar,to consider
1113,consistir,to consist of
1115,consolar,to console
1116,consolidar,to consolidate
1120,constar,"to consist of, comprise"
1121,constatar,"to prove, verify"
1124,constituir,"to constitute, consist of"
1127,construir,"to construct, build"
1130,consultar,to consult
1132,consumir,"to consume, take in"
1134,contactar,"to reach, contact"
1136,contagiar,"to infect, infest"
1138,contaminar,"to contaminate, pollute"
1139,contar,"to tell, count"
1140,contemplar,to contemplate
1142,contener,to contain
1145,contestar,"to answer, reply"
1152,continuar,to continue
1159,contraer,"to contract, shrink, abbreviate"
1161,contrastar,to contrast
1164,contratar,"to hire, contract"
1167,contribuir,to contribute
1169,controlar,to control
1172,convencer,"to convince, persuade"
1178,convenir,"to be agreeable, be convenient"
1181,conversar,"to converse, talk"
1183,convertir,"to convert, change, become"
1186,convivir,to coexist
1187,convocar,"to convene, summon"
1193,coordinar,to coordinate
1196,copiar,to copy
1204,coronar,"to crown, top"
1213,corregir,"to correct, rectify"
1215,correr,to run
1217,corresponder,to correspond with
1222,cortar,to cut
1229,coser,to sew
1233,costar,"to cost, be hard"
1244,crear,to create
1247,crecer,"to grow, increase"
1253,creer,"to believe, think"
1257,criar,"to bring up, rear"
1267,criticar,to criticize
1275,crujir,"to crunch, creak"
1278,cruzar,to cross
1299,cubrir,to cover
1310,cuestionar,to question
1314,cuidar,to take care of
1315,culminar,"to culminate, accomplish"
1319,cultivar,"to cultivate, produce"
1328,cumplir,to fulfill
1334,curar,to cure
1343,dañar,to damage
1346,dar,to give
1347,datar,to date
1352,debatir,"to debate, discuss"
1353,deber,"should, ought to, to owe"
1358,debilitar,"to weaken, debilitate"
1364,decidir,to decide
1366,decir,"to tell, say"
1370,declarar,"to declare, testify"
1373,decorar,to decorate
1376,dedicar,"to dedicate, devote"
1378,deducir,"to deduce, infer"
1380,defender,"to defend, protect"
1388,definir,to define
